Organization Name,Main Category,Subcategories,Membership Duration
1Eighty Christian Fellowship,Registered Student Organizations,Religious/Spiritual,Lifetime
AbuSulayman Center for Global Islamic Studies,Mason Centers/Affiliates,Academic,Lifetime
Accessible at Mason Korea,Registered Student Organizations at Mason Korea,"Volunteer/Service, Mason Korea Campus",Lifetime
ACCOUNTING ANALYTICS ASSOCIATION (AAA),Registered Student Organizations,"Academic, Volunteer/Service, Computer/Technology",Lifetime
Accounting Society at Mason,Registered Student Organizations,"Academic, Campus Spirit",Lifetime
Acting Club at George Mason University,Registered Student Organizations,"Special Interest, Performing/Visual Arts, Media and Communications",Lifetime
Adrenalina Dance Team at George Mason University,Registered Student Organizations,"Special Interest, Health/Wellness, Performing/Visual Arts",Lifetime
ADVANCE Student Advisory Board,Academic Departments,"Volunteer/Service, Special Interest, Department",Lifetime
Afghan Refugee Mentorship Program,Registered Student Organizations,Volunteer/Service,Lifetime
Afghan Student Union,Registered Student Organizations,"Academic, International/Multicultural, Volunteer/Service, Campus Spirit",Lifetime
African and African American Studies,Academic Departments,Academic,Lifetime
African Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Ahlul-Bayt Student Association,Registered Student Organizations,Religious/Spiritual,Lifetime
Ahmadiyya Muslim Student Association,Registered Student Organizations,Religious/Spiritual,Lifetime
Ahmadiyya Muslim Student Association for Women,Registered Student Organizations,"Academic, Religious/Spiritual",Lifetime
AIAA/ Aero Club (American Institute of Aeronautics and Astronautics),Registered Student Organizations,"Academic, STEM, Department, Campus Spirit, Computer/Technology",Lifetime
AIGA- The Professional Association for Design,Registered Student Organizations,"Academic, Performing/Visual Arts",Lifetime
All for Anime,Registered Student Organizations,Special Interest,Lifetime
Alpha Epsilon Pi,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Alpha Kappa Alpha Sorority Inc.,Fraternity and Sorority Life,National Pan-Hellenic Council,Ends at Graduation
Alpha Kappa Chi,Registered Student Organizations,Special Interest,Lifetime
alpha Kappa Delta Phi,Fraternity and Sorority Life,United Greek Council,Lifetime
Alpha Kappa Psi,Registered Student Organizations,"Academic, Special Interest",Lifetime
Alpha Lambda Delta Honor Society,Registered Student Organizations,"Academic, Volunteer/Service, Honor Society",Lifetime
Alpha Omicron Pi,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Alpha Phi,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Alpha Phi Alpha Fraternity Incorporated,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Alpha Phi Omega,Registered Student Organizations,Volunteer/Service,Lifetime
Alpha Sigma Rho Sorority Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Alpha Xi Delta,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Alternative Investments Association,Registered Student Organizations,"Academic, Special Interest",Lifetime
